City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Imbituba,BR,2022-03-19 01:54:59,-28.24,-48.6703,77.83,96,100,5.21
123,Umm Kaddadah,SD,2022-03-19 01:55:00,13.6017,26.6876,63.27,14,34,13.33
124,Shunyi,CN,2022-03-19 01:55:00,40.125,116.6453,35.55,51,0,8.95
125,Sabaudia,IT,2022-03-19 01:55:00,41.3003,13.0282,57.9,70,100,9.15
126,Nantucket,US,2022-03-19 01:55:01,41.2835,-70.0995,42.91,97,100,11.5
127,Maceio,BR,2022-03-19 01:55:01,-9.6658,-35.7353,76.44,83,20,2.3
128,Calabar,NG,2022-03-19 01:55:01,4.9517,8.322,79.47,88,21,2.19
129,Dunedin,NZ,2022-03-19 01:55:02,-45.8742,170.5036,57.79,74,71,7.0
130,Derzhavinsk,KZ,2022-03-19 01:55:02,51.1,66.3167,-6.18,95,12,8.7
131,Lokomotivnyy,RU,2022-03-19 01:55:02,53.0118,60.5684,-3.64,100,100,3.4
132,Eureka,US,2022-03-19 01:55:03,40.8021,-124.1637,54.36,80,100,5.01
133,Upernavik,GL,2022-03-19 01:55:03,72.7868,-56.1549,-19.28,78,99,7.61
134,Arroyo,ES,2022-03-19 01:55:03,41.6096,-4.7969,52.2,82,75,3.44
135,Taoudenni,ML,2022-03-19 01:55:04,22.6783,-3.9836,73.17,17,0,8.14
136,Tungor,RU,2022-03-19 01:55:04,53.3808,142.9564,28.92,93,100,6.15
137,Praia Da Vitoria,PT,2022-03-19 01:56:05,38.7333,-27.0667,50.76,87,75,28.86
138,Clacton-On-Sea,GB,2022-03-19 01:56:05,51.7897,1.156,47.79,87,0,4.0
139,Jurmala,LV,2022-03-19 01:56:05,56.968,23.7704,26.62,86,0,0.0
140,Pacific Grove,US,2022-03-19 01:56:06,36.6177,-121.9166,58.69,83,100,4.0
141,Tiarei,PF,2022-03-19 01:56:06,-17.5333,-149.3333,87.82,70,0,12.68
142,Necochea,AR,2022-03-19 01:56:06,-38.5473,-58.7368,52.09,52,6,5.53
143,Khasan,RU,2022-03-19 01:56:07,42.4308,130.6434,29.55,54,100,6.51
144,Kaitangata,NZ,2022-03-19 01:56:07,-46.2817,169.8464,63.63,58,54,14.58
145,Kodiak,US,2022-03-19 01:56:07,57.79,-152.4072,33.31,86,100,23.02
146,Denton,US,2022-03-19 01:56:08,33.2001,-97.1336,59.65,38,92,7.38
147,La Ronge,CA,2022-03-19 01:56:08,55.1001,-105.2842,43.05,49,20,4.61
148,Saint-Philippe,RE,2022-03-19 01:56:08,-21.3585,55.7679,76.59,86,53,4.92
149,Nome,US,2022-03-19 01:56:09,64.5011,-165.4064,-3.05,88,10,6.2
150,Maldonado,UY,2022-03-19 01:56:09,-34.6667,-54.9167,58.39,74,94,14.97
151,Lincolnia,US,2022-03-19 01:55:38,40.8,-96.667,47.28,54,100,3.0
152,Lagoa,PT,2022-03-19 01:56:09,39.05,-27.9833,52.68,63,99,34.09
153,Kishi,NG,2022-03-19 01:56:10,9.0833,3.85,79.9,62,100,6.62
154,Salinas,US,2022-03-19 01:54:36,36.6777,-121.6555,63.21,73,99,4.16
155,Ribeira Grande,PT,2022-03-19 01:56:10,38.5167,-28.7,52.2,50,20,19.57
156,Correntina,BR,2022-03-19 01:56:11,-13.3433,-44.6367,68.32,61,0,2.17
157,Olinda,BR,2022-03-19 01:56:11,-8.0089,-34.8553,78.53,89,75,3.44
158,Prince Rupert,CA,2022-03-19 01:56:11,54.3161,-130.3201,42.49,87,100,29.93
159,Punta Alta,AR,2022-03-19 01:53:01,-38.8759,-62.0736,55.4,49,0,8.79
160,Fortuna,US,2022-03-19 01:56:12,40.5982,-124.1573,54.09,84,0,12.66
161,Holme,DK,2022-03-19 01:56:12,56.1138,10.1725,34.18,88,0,5.3
162,Kharian,PK,2022-03-19 01:52:58,32.8149,73.8636,69.87,52,0,5.7
163,North Bend,US,2022-03-19 01:56:13,43.4065,-124.2243,54.25,92,100,10.38
164,Cherskiy,RU,2022-03-19 01:56:13,68.75,161.3,7.07,78,7,7.27
165,Lata,PT,2022-03-19 01:56:13,40.1629,-8.3327,49.91,74,1,6.08
166,Giovinazzo,IT,2022-03-19 01:56:14,41.1864,16.6674,52.83,61,0,11.5
167,Sadri,IN,2022-03-19 01:56:14,25.1833,73.4333,77.95,22,5,5.23
168,Ngama,TD,2022-03-19 01:55:17,11.7833,17.1667,73.11,12,98,9.08
169,Pabianice,PL,2022-03-19 01:56:14,51.6645,19.3547,32.31,60,1,2.3
170,Nioro,GM,2022-03-19 01:56:15,13.35,-15.75,75.63,26,1,8.95
171,Kirakira,SB,2022-03-19 01:56:15,-10.4544,161.9205,84.36,70,100,7.65
172,Broken Hill,AU,2022-03-19 01:56:16,-31.95,141.4333,82.11,44,0,6.91
173,Uyuni,BO,2022-03-19 01:56:16,-20.4597,-66.825,54.28,42,49,9.57
174,Kargasok,RU,2022-03-19 01:56:16,59.0556,80.8572,19.71,94,99,9.44
175,Saint-Francois,FR,2022-03-19 01:56:17,46.4154,3.9054,45.68,79,40,5.75
