City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Adrar,MR,20.5022,-10.0711,78.75,20,0,10.11,clear sky
147,Traverse City,US,44.7631,-85.6206,36.84,94,100,6.91,light rain
148,Yenangyaung,MM,20.4667,94.8833,76.37,73,34,5.48,scattered clouds
149,Aljezur,PT,37.3191,-8.8033,53.92,88,32,4.76,scattered clouds
150,Yeppoon,AU,-23.1333,150.7333,69.58,71,100,7.61,overcast clouds
151,Lashio,MM,22.9333,97.75,64.56,66,68,0.92,broken clouds
152,Surdulica,RS,42.6906,22.1708,43.57,64,0,1.63,clear sky
153,Phalaborwa,ZA,-23.943,31.1411,79.45,32,10,5.82,clear sky
154,Coos Bay,US,43.3665,-124.2179,64.31,89,0,4.61,clear sky
155,Kapoeta,SS,4.7717,33.5903,80.19,54,100,15.88,overcast clouds
156,Severo-Kurilsk,RU,50.6789,156.125,27.79,75,100,6.89,overcast clouds
157,Constitucion,CL,-35.3333,-72.4167,66.52,44,0,21.77,clear sky
158,Nouadhibou,MR,20.931,-17.0347,69.78,56,0,20.71,sand
159,Tarma,PE,-11.4197,-75.6908,61.74,68,99,6.62,overcast clouds
160,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,71,20,17.27,few clouds
161,Bitung,ID,1.4451,125.1824,76.05,82,100,7.16,overcast clouds
162,Kundiawa,PG,-6.0167,144.9667,59.29,97,100,2.86,overcast clouds
163,Neryungri,RU,56.6709,124.6491,-1.32,98,100,2.77,overcast clouds
164,Kermanshah,IR,34.3142,47.065,45.5,36,0,9.22,clear sky
165,Taltal,CL,-25.4,-70.4833,69.26,69,22,7.54,few clouds
166,Finnsnes,NO,69.2296,17.9811,30.81,91,100,1.36,overcast clouds
167,Micheweni,TZ,-4.9667,39.8333,82.4,82,11,11.16,few clouds
168,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,37,0,5.75,clear sky
169,Kenai,US,60.5544,-151.2583,37.02,74,0,20.71,clear sky
170,Talnakh,RU,69.4865,88.3972,9.21,93,99,9.55,overcast clouds
171,Prescott,US,34.54,-112.4685,71.29,16,6,7.0,clear sky
172,Bowen,AU,-20.0167,148.2333,69.04,86,99,8.19,overcast clouds
173,Spasskoye,RU,44.6108,132.7969,33.91,73,100,7.56,overcast clouds
174,Fairbanks,US,64.8378,-147.7164,21.24,57,40,8.05,scattered clouds
175,Jardim,BR,-21.4803,-56.1381,87.15,57,97,4.54,overcast clouds
176,Rocha,UY,-34.4833,-54.3333,73.13,63,63,14.23,broken clouds
177,Tanabe,JP,33.7333,135.3667,46.85,80,0,5.37,clear sky
178,Bahia Blanca,AR,-38.7196,-62.2724,57.72,100,100,33.38,heavy intensity rain
179,Ilulissat,GL,69.2167,-51.1,11.89,73,100,3.83,overcast clouds
180,Fukue,JP,32.6881,128.8419,57.65,65,100,12.93,overcast clouds
181,Miracema Do Tocantins,BR,-9.5618,-48.3967,83.14,79,80,5.23,heavy intensity rain
182,Shimoda,JP,34.6667,138.95,47.1,74,5,7.61,clear sky
183,Gejiu,CN,23.306,103.1635,51.66,94,37,3.91,scattered clouds
